outlet_id,outlet_name,town,region_type,lon,lat,order_count_90d,timeout_rate_calc,high_priority_order_count,risk_score,risk_level,cluster_id,cluster_name,cluster_center_lon,cluster_center_lat,cluster_risk_level,cluster_business_score,cluster_features
O002,南城街道2号配送网点,南城街道,城区,115.47944,35.234511,275,0.1964,0,6.82,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O006,牡丹街道6号配送网点,牡丹街道,城区,115.511766,35.217556,159,0.1698,0,6.64,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O010,南城街道10号配送网点,南城街道,城区,115.488276,35.225355,180,0.1667,0,6.53,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O004,东城街道4号配送网点,东城街道,城区,115.468845,35.221832,153,0.1503,0,6.32,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O005,南城街道5号配送网点,南城街道,城区,115.462754,35.239578,201,0.1692,0,5.18,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O015,牡丹街道15号配送网点,牡丹街道,城区,115.524858,35.229962,236,0.1314,0,4.82,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O001,牡丹街道1号配送网点,牡丹街道,城区,115.48126,35.192161,174,0.1207,0,4.74,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O008,开发区8号配送网点,开发区,城区,115.50315,35.258726,191,0.1257,0,4.53,低风险,1,西南乡镇风险片区,115.48265610000001,35.2316443,常规优化片区,23.52,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O037,安兴镇3号配送网点,安兴镇,乡镇,115.218932,35.026156,70,0.5857,5,60.15,高风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O035,马岭岗镇1号配送网点,马岭岗镇,乡镇,115.342368,35.026537,110,0.6455,2,50.43,高风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O041,马岭岗镇7号配送网点,马岭岗镇,乡镇,115.220383,35.054081,110,0.5636,4,49.88,高风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O036,安兴镇2号配送网点,安兴镇,乡镇,115.232477,35.054416,96,0.5833,4,47.94,高风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O039,吕陵镇5号配送网点,吕陵镇,乡镇,115.254564,35.073934,83,0.5783,2,43.5,高风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O046,吕陵镇12号配送网点,吕陵镇,乡镇,115.208273,35.050581,62,0.5161,1,36.47,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O043,马岭岗镇9号配送网点,马岭岗镇,乡镇,115.219194,35.120854,53,0.5094,0,35.19,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O047,马岭岗镇13号配送网点,马岭岗镇,乡镇,115.271208,35.057362,117,0.6068,1,34.73,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O045,安兴镇11号配送网点,安兴镇,乡镇,115.231489,35.046448,100,0.52,0,31.89,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O042,吕陵镇8号配送网点,吕陵镇,乡镇,115.190455,35.068013,36,0.4722,1,31.19,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O044,吕陵镇10号配送网点,吕陵镇,乡镇,115.219477,35.022566,53,0.4906,1,31.12,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O040,安兴镇6号配送网点,安兴镇,乡镇,115.198216,35.102143,72,0.5278,1,30.74,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O038,马岭岗镇4号配送网点,马岭岗镇,乡镇,115.279052,35.113167,91,0.4176,1,29.69,中风险,2,西南乡镇风险片区,115.23739138461539,35.062789076923075,重点优化片区,53.75,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O056,王浩屯镇9号配送网点,王浩屯镇,乡镇,115.505904,35.513977,80,0.4875,1,37.72,高风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O053,都司镇6号配送网点,都司镇,乡镇,115.454945,35.527352,85,0.4471,1,31.9,中风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O060,吴店镇13号配送网点,吴店镇,乡镇,115.486934,35.562382,107,0.4393,1,31.5,中风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O051,王浩屯镇4号配送网点,王浩屯镇,乡镇,115.470086,35.536606,104,0.5288,1,31.11,中风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O052,李村镇5号配送网点,李村镇,乡镇,115.526699,35.48718,85,0.4235,1,28.01,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O055,都司镇8号配送网点,都司镇,乡镇,115.472939,35.599397,61,0.5082,0,26.88,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O049,王浩屯镇2号配送网点,王浩屯镇,乡镇,115.49547,35.529816,113,0.4779,0,26.53,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O058,王浩屯镇11号配送网点,王浩屯镇,乡镇,115.45488,35.467575,95,0.5368,0,26.45,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O050,都司镇3号配送网点,都司镇,乡镇,115.58207,35.52353,43,0.4186,0,25.97,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O048,吴店镇1号配送网点,吴店镇,乡镇,115.514425,35.540054,110,0.4455,1,25.24,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O059,李村镇12号配送网点,李村镇,乡镇,115.561623,35.556439,109,0.3303,1,23.2,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O054,吴店镇7号配送网点,吴店镇,乡镇,115.5503,35.529734,50,0.38,0,21.48,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
O057,王浩屯镇10号配送网点,王浩屯镇,乡镇,115.5219,35.57547,61,0.2951,0,19.78,低风险,3,东北乡镇风险片区,115.50755192307693,35.534577846153844,重点优化片区,38.31,lon、lat、order_count_90d、timeout_rate_calc、risk_score、high_priority_order_count
