product_id,product_name,category,unit_price,cost_price,gross_profit_rate,shelf_life_days,is_fresh,is_key_product,clean_status
P0161,土豆2号,农产品,10.59,9.47,0.1058,27,1,1,通用清洗规则已应用
P0162,西红柿2号,农产品,37.03,31.71,0.1437,5,1,1,通用清洗规则已应用
P0163,苹果2号,农产品,28.61,25.51,0.1084,22,1,0,通用清洗规则已应用
P0164,蘑菇2号,农产品,29.22,24.59,0.1585,11,1,1,通用清洗规则已应用
P0165,鲜玉米3号,农产品,59.22,53.29,0.1001,14,1,0,通用清洗规则已应用
P0166,红薯3号,农产品,31.6,24.99,0.2092,24,1,0,通用清洗规则已应用
P0167,土豆3号,农产品,24.64,21.34,0.1339,40,1,0,通用清洗规则已应用
P0168,西红柿3号,农产品,25.17,19.37,0.2304,32,1,1,通用清洗规则已应用
P0169,苹果3号,农产品,49.54,43.54,0.1211,16,1,1,通用清洗规则已应用
P0170,蘑菇3号,农产品,4.59,4.01,0.1264,8,1,1,通用清洗规则已应用
P0171,鲜玉米4号,农产品,43.69,37.84,0.1339,12,1,0,通用清洗规则已应用
P0172,红薯4号,农产品,4.3,3.36,0.2186,28,1,0,通用清洗规则已应用
P0173,土豆4号,农产品,53.47,41.72,0.2197,13,1,1,通用清洗规则已应用
P0174,西红柿4号,农产品,42.62,32.48,0.2379,42,1,0,通用清洗规则已应用
P0175,苹果4号,农产品,24.38,19.21,0.2121,15,1,0,通用清洗规则已应用
P0176,蘑菇4号,农产品,24.33,21.63,0.111,12,1,1,通用清洗规则已应用
P0177,冷冻水饺1号,冷链食品,14.4,12.0,0.1667,78,1,0,通用清洗规则已应用
P0178,冷鲜鸡腿1号,冷链食品,51.96,37.29,0.2823,66,1,0,通用清洗规则已应用
P0179,酸奶1号,冷链食品,30.11,22.56,0.2507,73,1,1,通用清洗规则已应用
P0180,速冻馄饨1号,冷链食品,12.5,10.72,0.1424,49,1,0,通用清洗规则已应用
P0181,冰鲜牛肉1号,冷链食品,27.99,20.05,0.2837,41,1,0,通用清洗规则已应用
P0182,冷冻汤圆1号,冷链食品,46.42,39.55,0.148,52,1,0,通用清洗规则已应用
P0183,冷冻水饺2号,冷链食品,95.62,69.44,0.2738,11,1,1,通用清洗规则已应用
P0184,冷鲜鸡腿2号,冷链食品,122.11,100.06,0.1806,57,1,0,通用清洗规则已应用
P0185,酸奶2号,冷链食品,61.92,46.54,0.2484,71,1,0,通用清洗规则已应用
P0186,速冻馄饨2号,冷链食品,135.91,107.77,0.207,54,1,0,通用清洗规则已应用
P0187,冰鲜牛肉2号,冷链食品,112.3,87.23,0.2232,85,1,0,通用清洗规则已应用
P0188,冷冻汤圆2号,冷链食品,61.77,46.38,0.2492,14,1,1,通用清洗规则已应用
P0189,冷冻水饺3号,冷链食品,34.48,28.55,0.172,89,1,0,通用清洗规则已应用
P0190,冷鲜鸡腿3号,冷链食品,71.19,52.87,0.2573,83,1,0,通用清洗规则已应用
P0191,酸奶3号,冷链食品,77.14,57.19,0.2586,51,1,0,通用清洗规则已应用
P0192,速冻馄饨3号,冷链食品,25.18,18.01,0.2847,72,1,0,通用清洗规则已应用
P0193,冰鲜牛肉3号,冷链食品,24.58,20.33,0.1729,45,1,0,通用清洗规则已应用
P0194,冷冻汤圆3号,冷链食品,59.52,44.34,0.255,8,1,0,通用清洗规则已应用
P0195,冷冻水饺4号,冷链食品,52.21,39.82,0.2373,39,1,0,通用清洗规则已应用
P0196,冷鲜鸡腿4号,冷链食品,129.86,101.96,0.2148,41,1,1,通用清洗规则已应用
P0197,酸奶4号,冷链食品,61.66,51.73,0.161,32,1,1,通用清洗规则已应用
P0198,速冻馄饨4号,冷链食品,132.32,108.64,0.179,64,1,1,通用清洗规则已应用
P0199,冰鲜牛肉4号,冷链食品,123.01,100.31,0.1845,88,1,1,通用清洗规则已应用
P0200,冷冻汤圆4号,冷链食品,71.02,58.13,0.1815,22,1,1,通用清洗规则已应用
