order_id,order_date,customer_id,product_id,quantity,order_amount,outlet_id,order_status,is_urgent,clean_status
ORD003363,2026-06-14,C00504,P0076,1,20.8,O013,已签收,0,通过基础清洗
ORD005166,2026-05-28,C00937,P0046,2,7.58,O033,已签收,0,通过基础清洗
ORD001076,2026-05-12,C00088,P0153,3,156.39,O017,已签收,0,通过基础清洗
ORD006399,2026-04-19,C00268,P0167,2,49.28,O020,已签收,0,通过基础清洗
ORD004982,2026-05-12,C01248,P0166,3,94.8,O002,已签收,0,通过基础清洗
ORD006229,2026-04-26,C00994,P0059,4,44.8,O002,已签收,0,通过基础清洗
ORD002922,2026-04-20,C01705,P0023,10,868.0,O026,已签收,0,通过基础清洗
ORD004020,2026-04-08,C01313,P0020,5,333.4,O007,已签收,1,通过基础清洗
ORD004332,2026-05-20,C01422,P0169,6,297.24,O002,已签收,1,通过基础清洗
ORD007000,2026-06-01,C00765,P0053,2,97.7,O019,已签收,0,通过基础清洗
ORD001323,2026-04-17,C00373,P0175,4,97.52,O054,已签收,0,通过基础清洗
ORD007732,2026-05-06,C00865,P0174,4,170.48,O030,已签收,0,通过基础清洗
ORD002253,2026-04-14,C01262,P0030,5,418.55,O001,已签收,0,通过基础清洗
ORD006655,2026-04-05,C00789,P0023,4,347.2,O001,已签收,0,通过基础清洗
ORD007245,2026-06-03,C01142,P0015,2,140.52,O013,已签收,0,通过基础清洗
ORD000867,2026-05-03,C00059,P0005,6,453.12,O036,已签收,0,通过基础清洗
ORD005592,2026-06-12,C00732,P0035,6,207.48,O028,已签收,0,通过基础清洗
ORD002466,2026-04-04,C00205,P0166,6,189.6,O036,已签收,0,通过基础清洗
ORD000466,2026-06-08,C01352,P0154,5,124.1,O008,已签收,1,通过基础清洗
ORD002883,2026-05-03,C00613,P0006,3,243.06,O012,已签收,0,通过基础清洗
ORD004962,2026-05-25,C00777,P0058,2,73.76,O028,已签收,0,通过基础清洗
ORD007043,2026-05-22,C00109,P0006,6,486.12,O029,已签收,0,通过基础清洗
ORD006241,2026-05-03,C01190,P0085,1,68.59,O006,已签收,0,通过基础清洗
ORD005448,2026-06-04,C01601,P0004,6,259.5,O029,已签收,1,通过基础清洗
ORD001503,2026-04-18,C01134,P0026,1,54.65,O046,已签收,0,通过基础清洗
ORD003916,2026-05-12,C01501,P0073,6,585.06,O034,已签收,0,通过基础清洗
ORD003263,2026-06-11,C01678,P0090,4,70.88,O004,已签收,0,通过基础清洗
ORD000264,2026-05-25,C00699,P0163,4,114.44,O021,已签收,1,通过基础清洗
ORD003807,2026-04-04,C00009,P0026,4,218.6,O034,已签收,0,通过基础清洗
ORD004085,2026-05-18,C01507,P0023,2,173.6,O004,已签收,1,通过基础清洗
ORD007840,2026-04-18,C00640,P0164,5,146.1,O011,已签收,0,通过基础清洗
ORD001812,2026-06-06,C00223,P0076,2,41.6,O039,已签收,0,通过基础清洗
ORD001145,2026-03-21,C01797,P0049,4,40.2,O059,已签收,0,通过基础清洗
ORD005828,2026-05-16,C00027,P0019,3,120.42,O007,已签收,0,通过基础清洗
ORD002150,2026-05-22,C01051,P0121,3,914.88,O019,已签收,0,通过基础清洗
ORD003930,2026-05-26,C01176,P0199,5,615.05,O016,已签收,0,通过基础清洗
ORD006320,2026-06-06,C00541,P0155,1,41.81,O010,已签收,1,通过基础清洗
ORD003291,2026-03-24,C00148,P0029,2,67.42,O039,已签收,0,通过基础清洗
ORD000683,2026-05-23,C00598,P0031,4,31.68,O017,已签收,0,通过基础清洗
ORD002841,2026-06-07,C00375,P0011,1,73.6,O032,已签收,0,通过基础清洗
ORD001003,2026-04-11,C01121,P0153,4,208.52,O013,已签收,1,通过基础清洗
ORD006756,2026-06-12,C01611,P0141,1,21.17,O007,已签收,1,通过基础清洗
ORD005130,2026-06-03,C01334,P0039,12,388.32,O020,已签收,0,通过基础清洗
ORD004291,2026-05-07,C00235,P0017,6,466.14,O052,已签收,0,通过基础清洗
ORD002174,2026-05-30,C00143,P0117,2,117.86,O047,已签收,0,通过基础清洗
ORD000484,2026-04-23,C00726,P0131,1,192.08,O017,已签收,0,填补缺失数量
ORD003814,2026-04-29,C00984,P0170,6,27.54,O019,已签收,0,通过基础清洗
ORD004415,2026-05-29,C00062,P0005,4,302.08,O005,已签收,0,通过基础清洗
ORD000519,2026-03-26,C01631,P0200,2,142.04,O011,已签收,0,通过基础清洗
ORD006989,2026-05-02,C00843,P0153,2,104.26,O022,已签收,0,通过基础清洗
ORD001346,2026-05-15,C00755,P0199,4,492.04,O009,已签收,0,通过基础清洗
ORD000697,2026-04-24,C01161,P0042,6,244.26,O003,已签收,0,通过基础清洗
ORD001010,2026-04-07,C00305,P0078,2,31.86,O011,已签收,0,通过基础清洗
ORD006318,2026-06-09,C01323,P0028,1,13.09,O023,已签收,0,通过基础清洗
ORD006596,2026-06-08,C01757,P0028,6,78.54,O003,已签收,0,通过基础清洗
ORD002771,2026-04-11,C00751,P0193,10,245.8,O020,已签收,0,通过基础清洗
ORD001075,2026-05-12,C00963,P0173,4,213.88,O019,已签收,0,通过基础清洗
ORD001340,2026-04-05,C00945,P0048,12,586.08,O002,已签收,0,通过基础清洗
ORD002987,2026-05-09,C01674,P0158,2,94.34,O054,已签收,0,通过基础清洗
ORD007710,2026-04-22,C01218,P0009,2,33.82,O059,已签收,0,通过基础清洗
ORD006748,2026-04-08,C00425,P0173,6,320.82,O040,已签收,1,通过基础清洗
ORD004422,2026-06-12,C00603,P0194,5,297.6,O042,已签收,0,通过基础清洗
ORD003393,2026-03-18,C01235,P0007,3,29.04,O016,已签收,0,通过基础清洗
ORD001484,2026-05-04,C00707,P0010,1,75.94,O004,已签收,0,通过基础清洗
ORD004862,2026-04-14,C00229,P0027,2,132.86,O026,已签收,1,通过基础清洗
ORD001935,2026-04-21,C00241,P0029,4,134.84,O048,已签收,0,通过基础清洗
ORD001035,2026-06-14,C01764,P0078,2,31.86,O009,已签收,0,通过基础清洗
ORD005485,2026-04-18,C00046,P0190,5,355.95,O002,已签收,0,通过基础清洗
ORD002479,2026-05-18,C01646,P0155,3,125.43,O041,已签收,0,通过基础清洗
ORD000350,2026-04-17,C01010,P0180,4,50.0,O049,已签收,0,通过基础清洗
ORD004394,2026-04-25,C01079,P0187,1,112.3,O011,已签收,1,通过基础清洗
ORD004353,2026-06-10,C00061,P0121,2,609.92,O059,已签收,0,通过基础清洗
ORD007558,2026-05-27,C00192,P0015,2,140.52,O026,已签收,1,通过基础清洗
ORD001062,2026-03-21,C00726,P0040,1,27.8,O011,已签收,0,通过基础清洗
ORD000880,2026-04-22,C01309,P0005,1,75.52,O009,已签收,0,通过基础清洗
ORD005603,2026-04-03,C01326,P0169,6,297.24,O058,已签收,0,通过基础清洗
ORD002543,2026-05-17,C01668,P0156,3,41.85,O059,已签收,0,通过基础清洗
ORD006424,2026-03-25,C00520,P0164,2,58.44,O032,已签收,0,通过基础清洗
ORD006745,2026-04-23,C00925,P0163,5,143.05,O008,已签收,0,通过基础清洗
ORD001851,2026-06-10,C00433,P0010,5,379.7,O011,已签收,0,通过基础清洗
ORD005403,2026-05-01,C01142,P0155,2,83.62,O020,已签收,1,通过基础清洗
ORD001678,2026-05-28,C00764,P0026,2,109.3,O018,已签收,0,通过基础清洗
ORD001836,2026-06-08,C01331,P0053,2,97.7,O009,已签收,0,通过基础清洗
ORD007112,2026-06-15,C00926,P0015,3,210.78,O006,已签收,1,通过基础清洗
ORD004953,2026-04-29,C01215,P0157,3,164.07,O039,已签收,1,通过基础清洗
ORD004705,2026-06-11,C00711,P0046,3,11.37,O051,已签收,0,通过基础清洗
ORD005200,2026-04-05,C01179,P0071,2,167.72,O012,已签收,0,通过基础清洗
ORD000458,2026-03-20,C00448,P0047,4,39.76,O001,已签收,0,通过基础清洗
ORD004648,2026-06-07,C00504,P0160,2,73.62,O014,已签收,0,通过基础清洗
ORD006508,2026-05-10,C01373,P0180,10,125.0,O009,已签收,0,通过基础清洗
ORD003183,2026-05-30,C01573,P0179,1,30.11,O002,已签收,0,通过基础清洗
ORD005338,2026-04-09,C00792,P0010,3,227.82,O051,已签收,0,通过基础清洗
ORD001946,2026-05-27,C00183,P0200,2,142.04,O027,已签收,0,通过基础清洗
ORD006125,2026-04-22,C01429,P0178,6,311.76,O055,已签收,0,通过基础清洗
ORD003264,2026-03-28,C00735,P0046,2,7.58,O002,已签收,1,通过基础清洗
ORD006523,2026-05-31,C00464,P0046,2,7.58,O016,已签收,0,通过基础清洗
ORD006522,2026-04-24,C00129,P0200,2,142.04,O015,已签收,0,通过基础清洗
ORD006703,2026-06-10,C00336,P0015,3,210.78,O003,已签收,0,通过基础清洗
ORD002989,2026-05-11,C00546,P0189,4,137.92,O060,已签收,0,通过基础清洗
ORD007021,2026-06-12,C00213,P0022,2,117.88,O030,已签收,0,通过基础清洗
ORD001551,2026-06-14,C01421,P0196,4,519.44,O058,已签收,0,通过基础清洗
ORD002165,2026-03-23,C00965,P0171,3,131.07,O034,已签收,0,通过基础清洗
ORD000587,2026-04-03,C00932,P0058,4,147.52,O030,已签收,0,通过基础清洗
ORD002406,2026-03-26,C01686,P0078,1,15.93,O016,已签收,0,通过基础清洗
ORD006801,2026-04-05,C01006,P0195,5,261.05,O008,已签收,0,通过基础清洗
ORD003429,2026-04-09,C01545,P0019,2,80.28,O018,已签收,0,通过基础清洗
ORD002610,2026-03-18,C01210,P0026,1,54.65,O018,已签收,0,通过基础清洗
ORD003657,2026-04-19,C00667,P0034,6,46.92,O002,已签收,0,通过基础清洗
ORD003215,2026-05-06,C01738,P0026,6,327.9,O036,已签收,1,通过基础清洗
ORD003535,2026-06-02,C01333,P0100,1,11.27,O003,已签收,0,通过基础清洗
ORD003287,2026-06-13,C00499,P0052,2,53.78,O013,已签收,0,通过基础清洗
ORD002081,2026-05-30,C00073,P0086,3,355.38,O056,已签收,0,通过基础清洗
ORD006956,2026-05-02,C00640,P0034,5,39.1,O017,已签收,0,通过基础清洗
ORD006488,2026-05-12,C00085,P0020,2,133.36,O060,已签收,1,通过基础清洗
ORD000648,2026-03-20,C01668,P0194,1,59.52,O024,已签收,0,通过基础清洗
ORD000223,2026-05-11,C01424,P0017,4,310.76,O043,已签收,0,通过基础清洗
ORD006890,2026-05-24,C00527,P0169,1,49.54,O023,已签收,1,通过基础清洗
ORD007679,2026-05-04,C00065,P0171,8,349.52,O026,已签收,0,通过基础清洗
ORD000024,2026-05-24,C01357,P0009,3,50.73,O012,已签收,0,通过基础清洗
ORD001906,2026-06-09,C00750,P0019,4,160.56,O030,已签收,0,通过基础清洗
ORD004079,2026-06-01,C00298,P0074,2,56.56,O009,已签收,0,通过基础清洗
ORD001555,2026-03-22,C01530,P0021,3,56.37,O041,已签收,0,通过基础清洗
ORD005724,2026-04-24,C00829,P0200,3,213.06,O013,已签收,0,通过基础清洗
ORD005205,2026-05-29,C01284,P0153,1,52.13,O017,已签收,0,通过基础清洗
ORD007701,2026-05-28,C01067,P0040,1,27.8,O023,已签收,0,通过基础清洗
ORD005841,2026-05-31,C01326,P0162,2,74.06,O020,已签收,0,通过基础清洗
ORD004946,2026-04-29,C01414,P0003,1,43.83,O009,已签收,0,通过基础清洗
ORD001408,2026-06-13,C00476,P0049,3,30.15,O020,已签收,0,通过基础清洗
ORD000066,2026-03-28,C01058,P0020,2,133.36,O034,已签收,0,通过基础清洗
ORD006341,2026-06-06,C01091,P0029,1,33.71,O011,已签收,0,通过基础清洗
ORD001045,2026-06-01,C00612,P0025,1,14.1,O010,已签收,0,通过基础清洗
ORD006689,2026-05-26,C00713,P0199,2,246.02,O053,已签收,0,通过基础清洗
ORD007925,2026-06-13,C00728,P0156,5,69.75,O030,已签收,0,通过基础清洗
ORD004744,2026-06-05,C00203,P0074,1,28.28,O029,已签收,0,通过基础清洗
ORD002032,2026-05-30,C01563,P0017,2,155.38,O019,已签收,0,通过基础清洗
ORD005825,2026-04-20,C01536,P0133,2,372.7,O030,已签收,0,通过基础清洗
ORD005245,2026-05-04,C00942,P0177,8,115.2,O033,已签收,0,通过基础清洗
ORD005037,2026-04-17,C01429,P0175,4,97.52,O036,已签收,0,通过基础清洗
ORD000555,2026-04-05,C01520,P0032,3,140.64,O041,已签收,1,通过基础清洗
ORD007312,2026-05-27,C01208,P0040,6,166.8,O002,已签收,0,通过基础清洗
ORD004395,2026-06-09,C00003,P0058,2,73.76,O019,已签收,0,通过基础清洗
ORD005395,2026-05-20,C00045,P0183,3,286.86,O059,已签收,1,通过基础清洗
ORD003536,2026-04-26,C00420,P0018,2,123.2,O001,已签收,0,通过基础清洗
ORD001700,2026-06-06,C01397,P0027,4,265.72,O022,已签收,0,通过基础清洗
ORD006727,2026-05-20,C01106,P0188,3,185.31,O002,已签收,1,通过基础清洗
ORD001056,2026-03-30,C01340,P0113,2,251.08,O047,已签收,0,通过基础清洗
ORD001407,2026-06-02,C00664,P0059,2,22.4,O019,已签收,0,通过基础清洗
ORD003768,2026-04-28,C00142,P0162,5,185.15,O016,已签收,0,通过基础清洗
ORD000602,2026-03-29,C01522,P0036,8,355.52,O005,已签收,0,通过基础清洗
ORD001384,2026-04-20,C01067,P0168,3,75.51,O018,已签收,0,通过基础清洗
ORD003333,2026-06-08,C01295,P0159,2,31.7,O033,已签收,0,通过基础清洗
ORD002119,2026-04-01,C01320,P0027,2,132.86,O009,已签收,0,通过基础清洗
ORD004320,2026-06-01,C00368,P0193,1,24.58,O005,已签收,0,通过基础清洗
ORD001913,2026-04-16,C00579,P0169,6,297.24,O011,已签收,0,通过基础清洗
ORD003685,2026-04-18,C01697,P0200,1,71.02,O033,已签收,0,通过基础清洗
ORD007583,2026-03-30,C00282,P0036,3,133.32,O046,已签收,0,通过基础清洗
ORD004814,2026-05-19,C00483,P0013,4,260.92,O013,已签收,0,通过基础清洗
ORD001741,2026-04-07,C01398,P0028,1,13.09,O016,已签收,0,通过基础清洗
ORD005040,2026-06-08,C00365,P0172,8,34.4,O058,已签收,0,通过基础清洗
ORD000928,2026-03-19,C00846,P0169,1,49.54,O034,已签收,0,通过基础清洗
ORD005139,2026-04-26,C01493,P0036,2,88.88,O011,已签收,0,通过基础清洗
ORD003579,2026-04-17,C00310,P0172,1,4.3,O003,已签收,0,通过基础清洗
ORD004443,2026-05-27,C00416,P0020,1,66.68,O049,已签收,0,通过基础清洗
ORD007473,2026-04-23,C01371,P0014,10,156.2,O008,已签收,0,通过基础清洗
ORD007129,2026-05-09,C00710,P0161,1,10.59,O038,已签收,1,通过基础清洗
ORD000240,2026-03-19,C01633,P0165,6,355.32,O013,已签收,0,通过基础清洗
ORD002967,2026-04-21,C00296,P0156,3,41.85,O018,已签收,0,通过基础清洗
ORD003543,2026-04-18,C00069,P0033,3,137.31,O060,已签收,0,通过基础清洗
ORD006207,2026-05-20,C01064,P0029,10,337.1,O022,已签收,0,通过基础清洗
ORD003211,2026-04-04,C00743,P0156,5,69.75,O016,已签收,1,通过基础清洗
ORD000102,2026-04-13,C01373,P0002,1,87.95,O060,已签收,1,通过基础清洗
ORD000319,2026-05-30,C00791,P0032,8,375.04,O017,已签收,0,通过基础清洗
ORD004582,2026-04-26,C01366,P0035,4,138.32,O014,已签收,0,通过基础清洗
ORD003188,2026-06-12,C01044,P0056,6,240.96,O026,已签收,0,通过基础清洗
ORD000534,2026-05-04,C00495,P0072,2,85.52,O059,已签收,0,通过基础清洗
ORD000738,2026-05-25,C00445,P0019,8,321.12,O029,已签收,1,通过基础清洗
ORD001245,2026-05-27,C00359,P0060,8,76.64,O008,已签收,0,通过基础清洗
ORD001143,2026-03-21,C00669,P0155,3,125.43,O051,已签收,0,通过基础清洗
ORD004348,2026-05-26,C01333,P0182,6,278.52,O011,已签收,0,通过基础清洗
ORD007288,2026-05-31,C00988,P0017,4,310.76,O003,已签收,1,通过基础清洗
ORD006527,2026-05-28,C01732,P0011,2,147.2,O028,已签收,0,通过基础清洗
ORD001329,2026-04-29,C01112,P0094,1,9.16,O014,已签收,0,通过基础清洗
ORD007098,2026-06-08,C01307,P0019,5,200.7,O034,已签收,0,通过基础清洗
ORD006614,2026-03-19,C01306,P0165,8,473.76,O024,已签收,0,通过基础清洗
ORD001929,2026-03-26,C00729,P0024,3,214.26,O002,已签收,0,通过基础清洗
ORD005005,2026-04-23,C00743,P0169,6,297.24,O019,已签收,1,通过基础清洗
ORD000497,2026-05-20,C00438,P0069,3,106.92,O020,已签收,0,通过基础清洗
ORD007545,2026-06-06,C00526,P0079,2,141.66,O019,已签收,0,通过基础清洗
ORD002772,2026-06-08,C01438,P0162,6,222.18,O014,已签收,0,通过基础清洗
ORD000473,2026-05-14,C01410,P0089,3,173.19,O045,已签收,0,通过基础清洗
ORD005051,2026-06-02,C01512,P0185,2,123.84,O007,已签收,0,通过基础清洗
ORD004077,2026-04-05,C00923,P0006,1,81.02,O059,已签收,0,通过基础清洗
ORD003917,2026-05-26,C00140,P0162,1,37.03,O043,已签收,0,通过基础清洗
ORD000545,2026-04-27,C01122,P0034,2,15.64,O053,已签收,0,通过基础清洗
ORD004177,2026-04-11,C01350,P0085,2,137.18,O051,已签收,0,通过基础清洗
ORD001243,2026-03-30,C00611,P0063,1,13.35,O003,已签收,0,通过基础清洗
ORD007331,2026-06-12,C00399,P0042,1,40.71,O002,已签收,0,通过基础清洗
ORD005539,2026-04-20,C00849,P0183,3,286.86,O018,已签收,1,通过基础清洗
ORD000335,2026-04-28,C01555,P0012,6,136.74,O021,已签收,0,通过基础清洗
ORD007133,2026-05-23,C00923,P0005,2,151.04,O051,已签收,0,通过基础清洗
ORD001316,2026-05-02,C00143,P0198,2,264.64,O057,已签收,0,通过基础清洗
ORD001920,2026-04-21,C00044,P0009,1,16.91,O007,已签收,0,通过基础清洗
ORD002185,2026-04-10,C01679,P0097,3,28.86,O029,已签收,0,通过基础清洗
ORD003862,2026-04-15,C00598,P0011,3,220.8,O037,已签收,0,通过基础清洗
ORD007410,2026-04-16,C01210,P0096,4,446.8,O043,已签收,0,通过基础清洗
ORD004646,2026-04-29,C01258,P0023,2,173.6,O046,已签收,0,通过基础清洗
ORD000133,2026-04-15,C00913,P0003,3,131.49,O017,已签收,0,通过基础清洗
ORD003961,2026-05-18,C00500,P0010,3,227.82,O044,已签收,0,通过基础清洗
ORD006352,2026-03-25,C01269,P0052,8,215.12,O001,已签收,0,通过基础清洗
ORD002246,2026-05-02,C01342,P0164,2,58.44,O047,已签收,0,通过基础清洗
ORD000541,2026-05-18,C01221,P0071,1,83.86,O040,已签收,0,通过基础清洗
ORD006147,2026-04-10,C01089,P0062,2,63.52,O029,已签收,0,通过基础清洗
ORD002030,2026-05-05,C01105,P0004,4,173.0,O051,已签收,0,通过基础清洗
ORD000038,2026-03-18,C01675,P0010,3,227.82,O019,已签收,0,通过基础清洗
ORD007637,2026-03-23,C00870,P0166,1,31.6,O053,已签收,0,通过基础清洗
ORD007574,2026-04-28,C00165,P0046,1,3.79,O035,已签收,0,通过基础清洗
ORD002019,2026-05-30,C01395,P0082,2,164.38,O009,已签收,0,通过基础清洗
ORD002112,2026-03-24,C00908,P0198,4,529.28,O004,已签收,1,通过基础清洗
ORD002403,2026-05-08,C01655,P0162,1,37.03,O050,已签收,0,通过基础清洗
ORD000749,2026-05-13,C00798,P0153,1,52.13,O013,已签收,0,通过基础清洗
ORD007568,2026-05-24,C01711,P0183,4,382.48,O013,已签收,0,通过基础清洗
ORD002457,2026-03-31,C00897,P0168,8,201.36,O026,已签收,0,通过基础清洗
ORD007513,2026-04-27,C01405,P0028,1,13.09,O026,已签收,0,通过基础清洗
ORD002345,2026-06-13,C01113,P0037,4,64.48,O002,已签收,0,通过基础清洗
ORD000096,2026-04-12,C01432,P0093,2,42.9,O018,已签收,0,通过基础清洗
ORD006252,2026-04-28,C00339,P0183,4,382.48,O016,已签收,0,通过基础清洗
ORD007865,2026-05-16,C01384,P0170,2,9.18,O012,已签收,0,通过基础清洗
ORD005224,2026-04-05,C01148,P0193,5,122.9,O003,已签收,0,通过基础清洗
ORD002115,2026-04-25,C00502,P0176,3,72.99,O045,已签收,0,通过基础清洗
ORD002587,2026-05-30,C01668,P0111,1,232.1,O011,已签收,0,通过基础清洗
ORD005199,2026-04-01,C00084,P0195,2,104.42,O024,已签收,0,通过基础清洗
ORD003440,2026-04-14,C00007,P0200,1,71.02,O017,已签收,0,通过基础清洗
ORD003555,2026-03-19,C00744,P0056,1,40.16,O011,已签收,0,通过基础清洗
ORD000454,2026-04-25,C00460,P0045,3,62.07,O002,已签收,0,通过基础清洗
ORD006585,2026-04-14,C01549,P0016,3,25.77,O002,已签收,0,通过基础清洗
ORD002813,2026-05-21,C00729,P0167,1,24.64,O028,已签收,0,通过基础清洗
ORD002837,2026-05-20,C00914,P0170,3,13.77,O008,已签收,0,通过基础清洗
ORD000252,2026-05-02,C01370,P0006,4,324.08,O046,已签收,1,通过基础清洗
ORD006636,2026-06-14,C00730,P0039,1,32.36,O036,已签收,0,通过基础清洗
ORD001023,2026-06-09,C00231,P0002,1,87.95,O011,已签收,0,通过基础清洗
ORD007648,2026-05-20,C01671,P0177,2,28.8,O005,已签收,0,通过基础清洗
ORD001011,2026-05-20,C00435,P0032,10,468.8,O034,已签收,0,通过基础清洗
ORD004650,2026-05-14,C00248,P0190,5,355.95,O004,已签收,0,通过基础清洗
ORD006002,2026-06-09,C01362,P0023,10,868.0,O009,已签收,0,通过基础清洗
ORD001673,2026-06-15,C00540,P0041,3,161.34,O001,已签收,0,通过基础清洗
ORD000626,2026-05-15,C00792,P0018,1,61.6,O038,已签收,0,通过基础清洗
ORD007794,2026-06-03,C00037,P0167,2,49.28,O013,已签收,0,通过基础清洗
ORD002111,2026-03-23,C00469,P0200,3,213.06,O047,已签收,1,通过基础清洗
ORD001466,2026-05-26,C01518,P0039,1,32.36,O026,已签收,0,通过基础清洗
ORD007530,2026-05-25,C01187,P0159,4,63.4,O023,已签收,0,通过基础清洗
ORD004735,2026-04-19,C00024,P0015,4,281.04,O009,已签收,0,通过基础清洗
ORD004267,2026-03-28,C00736,P0196,5,649.3,O025,已签收,0,通过基础清洗
ORD003092,2026-04-16,C01493,P0180,1,12.5,O053,已签收,0,通过基础清洗
ORD006973,2026-05-01,C01250,P0187,10,1123.0,O001,已签收,0,通过基础清洗
ORD001889,2026-05-15,C00633,P0162,2,74.06,O013,已签收,0,通过基础清洗
ORD001609,2026-05-01,C00369,P0011,6,441.6,O020,已签收,0,通过基础清洗
ORD001745,2026-04-06,C01316,P0009,6,101.46,O037,已签收,0,通过基础清洗
ORD000158,2026-05-07,C01451,P0027,3,199.29,O051,已签收,1,通过基础清洗
ORD002440,2026-03-26,C00711,P0100,2,22.54,O011,已签收,0,通过基础清洗
ORD002200,2026-04-21,C00714,P0172,2,8.6,O041,已签收,0,通过基础清洗
ORD003095,2026-04-30,C00487,P0016,1,8.59,O020,已签收,0,通过基础清洗
ORD006214,2026-03-29,C00239,P0054,4,201.12,O057,已签收,0,通过基础清洗
ORD000504,2026-05-06,C00791,P0157,2,109.38,O008,已签收,0,通过基础清洗
ORD006187,2026-04-24,C00455,P0020,5,333.4,O016,已签收,0,通过基础清洗
ORD000316,2026-05-14,C01409,P0006,10,810.2,O055,已签收,0,通过基础清洗
ORD000711,2026-03-20,C00644,P0193,4,98.32,O017,已签收,0,通过基础清洗
ORD003969,2026-04-28,C01616,P0061,3,18.12,O016,已签收,0,通过基础清洗
ORD004175,2026-04-29,C01506,P0042,2,81.42,O030,已签收,0,通过基础清洗
ORD003718,2026-05-22,C01271,P0052,1,26.89,O034,已签收,0,通过基础清洗
ORD007083,2026-06-02,C01695,P0183,5,478.1,O039,已签收,0,通过基础清洗
ORD000857,2026-03-31,C01241,P0002,8,703.6,O021,已签收,0,通过基础清洗
ORD003323,2026-05-29,C00521,P0098,1,77.45,O051,已签收,1,通过基础清洗
