return_id,order_id,product_id,return_date,return_reason,refund_amount
R00078,ORD004197,P0169,2026-04-10,质量问题,90.53
R00079,ORD000500,P0018,2026-04-10,质量问题,176.98
R00080,ORD000854,P0156,2026-05-19,配送超时,51.5
R00081,ORD003936,P0015,2026-03-31,客户拒收,62.54
R00082,ORD003425,P0158,2026-03-21,质量问题,164.55
R00083,ORD002881,P0161,2026-04-23,客户拒收,9.63
R00084,ORD005181,P0025,2026-03-29,地址错误,82.98
R00085,ORD002451,P0189,2026-04-22,客户拒收,59.07
R00086,ORD001918,P0030,2026-03-23,配送超时,453.62
R00087,ORD002358,P0051,2026-05-09,配送超时,23.87
R00088,ORD003272,P0169,2026-05-14,配送超时,190.64
R00089,ORD004399,P0029,2026-05-07,地址错误,90.32
R00090,ORD003430,P0080,2026-05-18,配送超时,202.84
R00091,ORD003478,P0034,2026-05-09,客户拒收,7.17
R00092,ORD002756,P0033,2026-04-20,客户拒收,39.12
R00093,ORD006679,P0155,2026-06-14,质量问题,81.93
R00094,ORD005114,P0200,2026-04-04,地址错误,69.43
R00095,ORD004113,P0006,2026-03-29,商品破损,157.42
R00096,ORD004376,P0061,2026-06-15,商品破损,21.6
R00097,ORD005957,P0003,2026-06-09,客户拒收,36.5
R00098,ORD005051,P0185,2026-06-04,商品破损,110.06
R00099,ORD001869,P0084,2026-05-11,商品破损,445.31
R00100,ORD001522,P0156,2026-06-15,地址错误,65.31
R00101,ORD003443,P0030,2026-06-15,质量问题,213.46
R00102,ORD002063,P0016,2026-05-08,配送超时,7.31
R00103,ORD005129,P0193,2026-06-14,质量问题,100.98
R00104,ORD001008,P0168,2026-06-01,地址错误,110.46
R00105,ORD004167,P0009,2026-04-11,配送超时,32.54
R00106,ORD001964,P0028,2026-05-07,质量问题,24.79
R00107,ORD000171,P0046,2026-06-14,质量问题,29.57
R00108,ORD007923,P0046,2026-05-08,地址错误,29.04
R00109,ORD002726,P0200,2026-06-12,客户拒收,63.34
R00110,ORD005539,P0183,2026-04-27,配送超时,274.89
R00111,ORD004172,P0046,2026-06-15,配送超时,41.87
R00112,ORD002190,P0156,2026-06-15,配送超时,47.55
R00113,ORD004370,P0083,2026-04-26,商品破损,190.34
R00114,ORD001097,P0029,2026-05-09,商品破损,125.01
R00115,ORD000957,P0173,2026-04-27,质量问题,140.87
R00116,ORD006721,P0156,2026-05-16,客户拒收,13.21
R00117,ORD004731,P0023,2026-03-24,地址错误,170.5
R00118,ORD003920,P0026,2026-04-22,质量问题,190.32
R00119,ORD005094,P0189,2026-04-03,配送超时,325.86
R00120,ORD004635,P0185,2026-05-27,客户拒收,234.65
R00121,ORD000102,P0002,2026-04-19,客户拒收,75.77
R00122,ORD001168,P0025,2026-05-30,地址错误,23.76
R00123,ORD002561,P0015,2026-05-18,客户拒收,276.48
R00124,ORD006772,P0011,2026-03-25,客户拒收,289.8
R00125,ORD001568,P0175,2026-05-22,质量问题,22.88
R00126,ORD000170,P0051,2026-04-16,质量问题,8.63
R00127,ORD001471,P0173,2026-06-13,配送超时,101.1
R00128,ORD002421,P0198,2026-06-13,配送超时,772.18
R00129,ORD001449,P0155,2026-05-18,质量问题,211.81
R00130,ORD003346,P0159,2026-05-06,配送超时,40.97
R00131,ORD003735,P0162,2026-06-15,配送超时,349.45
R00132,ORD004870,P0020,2026-05-25,客户拒收,231.12
R00133,ORD006381,P0173,2026-04-09,配送超时,227.28
R00134,ORD002755,P0153,2026-05-26,客户拒收,52.08
R00135,ORD006662,P0009,2026-03-25,地址错误,113.22
R00136,ORD006949,P0170,2026-05-26,客户拒收,34.67
R00137,ORD003832,P0172,2026-05-23,配送超时,17.06
R00138,ORD003913,P0028,2026-04-01,客户拒收,38.02
R00139,ORD001701,P0083,2026-05-04,商品破损,34.25
R00140,ORD007292,P0153,2026-06-03,地址错误,431.2
R00141,ORD007804,P0197,2026-06-15,配送超时,175.27
R00142,ORD003417,P0161,2026-05-08,客户拒收,20.5
R00143,ORD007420,P0039,2026-03-29,配送超时,160.03
R00144,ORD003105,P0175,2026-04-07,地址错误,22.34
R00145,ORD006787,P0062,2026-05-21,地址错误,30.05
R00146,ORD001042,P0022,2026-05-24,配送超时,219.03
R00147,ORD005728,P0186,2026-06-04,商品破损,469.14
R00148,ORD004552,P0180,2026-05-06,客户拒收,24.66
R00149,ORD007735,P0164,2026-05-12,地址错误,111.21
R00150,ORD006237,P0001,2026-05-08,商品破损,475.86
R00151,ORD005808,P0007,2026-04-12,客户拒收,90.54
R00152,ORD005364,P0011,2026-06-10,配送超时,587.45
R00153,ORD005779,P0011,2026-05-07,配送超时,140.08
R00154,ORD004649,P0028,2026-04-09,客户拒收,22.35
R00155,ORD000125,P0177,2026-04-11,质量问题,40.17
R00156,ORD005236,P0162,2026-04-24,质量问题,124.67
R00157,ORD005237,P0161,2026-05-25,商品破损,10.19
R00158,ORD000780,P0085,2026-04-20,质量问题,60.88
R00159,ORD006584,P0166,2026-05-19,质量问题,61.44
R00160,ORD001176,P0182,2026-03-27,客户拒收,126.84
R00161,ORD002843,P0157,2026-05-23,质量问题,97.16
R00162,ORD002706,P0161,2026-05-26,质量问题,27.59
R00163,ORD006664,P0032,2026-05-24,商品破损,138.01
R00164,ORD007616,P0176,2026-04-18,配送超时,202.94
R00165,ORD006525,P0007,2026-04-12,质量问题,8.58
R00166,ORD001159,P0156,2026-05-07,配送超时,38.78
R00167,ORD005896,P0166,2026-04-07,商品破损,267.23
R00168,ORD005405,P0031,2026-04-10,客户拒收,28.23
R00169,ORD006097,P0020,2026-04-11,客户拒收,126.21
R00170,ORD001537,P0083,2026-05-16,配送超时,97.34
R00171,ORD000464,P0180,2026-06-15,地址错误,21.21
R00172,ORD005821,P0074,2026-06-15,商品破损,52.52
R00173,ORD006005,P0172,2026-04-02,配送超时,12.27
R00174,ORD004347,P0159,2026-04-28,质量问题,67.02
R00175,ORD001645,P0016,2026-04-29,配送超时,14.11
R00176,ORD005936,P0191,2026-04-20,质量问题,206.05
R00177,ORD001783,P0005,2026-03-26,配送超时,74.61
R00178,ORD001609,P0011,2026-05-10,配送超时,378.9
R00179,ORD002021,P0027,2026-05-19,配送超时,393.65
R00180,ORD000196,P0033,2026-04-13,商品破损,219.12
R00181,ORD004055,P0089,2026-05-31,质量问题,149.7
R00182,ORD000679,P0191,2026-05-04,配送超时,204.61
R00183,ORD000867,P0005,2026-05-05,配送超时,407.53
R00184,ORD004144,P0156,2026-05-19,质量问题,24.53
R00185,ORD001865,P0018,2026-06-07,客户拒收,58.08
R00186,ORD000262,P0019,2026-06-15,商品破损,35.8
R00187,ORD003073,P0032,2026-04-13,配送超时,38.52
R00188,ORD002106,P0047,2026-06-12,配送超时,74.63
R00189,ORD006968,P0182,2026-06-02,质量问题,167.59
R00190,ORD007541,P0074,2026-06-13,商品破损,53.04
R00191,ORD006981,P0163,2026-06-01,客户拒收,72.7
R00192,ORD000802,P0197,2026-04-30,地址错误,156.68
R00193,ORD002100,P0003,2026-04-13,商品破损,77.13
R00194,ORD006465,P0151,2026-05-17,配送超时,92.51
R00195,ORD000899,P0095,2026-05-05,配送超时,254.66
R00196,ORD005635,P0012,2026-06-15,配送超时,126.1
R00197,ORD004505,P0169,2026-05-27,配送超时,195.21
R00198,ORD002145,P0157,2026-04-18,配送超时,95.38
R00199,ORD007876,P0007,2026-04-15,质量问题,81.27
R00200,ORD002353,P0183,2026-03-27,地址错误,78.43
R00201,ORD007703,P0009,2026-05-24,地址错误,59.84
R00202,ORD005597,P0166,2026-05-23,质量问题,57.16
R00203,ORD002711,P0006,2026-04-10,配送超时,380.8
R00204,ORD000376,P0169,2026-04-22,商品破损,140.98
R00205,ORD002189,P0030,2026-04-25,配送超时,207.37
R00206,ORD004284,P0038,2026-04-18,地址错误,41.79
R00207,ORD000607,P0161,2026-05-30,地址错误,18.5
R00208,ORD004662,P0030,2026-05-02,质量问题,427.21
R00209,ORD005137,P0161,2026-06-15,配送超时,18.33
R00210,ORD006068,P0009,2026-05-14,商品破损,56.51
R00211,ORD004755,P0076,2026-05-15,配送超时,40.31
R00212,ORD005184,P0096,2026-05-04,地址错误,97.17
R00213,ORD000931,P0079,2026-04-18,配送超时,63.51
R00214,ORD004744,P0074,2026-06-11,配送超时,25.02
R00215,ORD004960,P0158,2026-05-26,客户拒收,199.42
R00216,ORD002110,P0003,2026-05-30,质量问题,80.24
R00217,ORD004048,P0033,2026-04-30,商品破损,173.15
R00218,ORD006719,P0009,2026-04-16,客户拒收,44.22
R00219,ORD006389,P0063,2026-05-23,地址错误,72.61
R00220,ORD000538,P0177,2026-05-16,质量问题,13.84
R00221,ORD002328,P0078,2026-04-03,配送超时,14.81
R00222,ORD002649,P0059,2026-04-18,商品破损,28.22
R00223,ORD003310,P0045,2026-04-14,质量问题,81.21
R00224,ORD003071,P0195,2026-04-24,配送超时,225.3
R00225,ORD006269,P0155,2026-04-24,质量问题,207.39
R00226,ORD007943,P0159,2026-04-14,地址错误,26.11
R00227,ORD006930,P0093,2026-05-07,商品破损,54.11
R00228,ORD002704,P0095,2026-04-22,配送超时,96.02
R00229,ORD005984,P0041,2026-04-09,质量问题,210.89
R00230,ORD006148,P0028,2026-04-27,商品破损,22.16
R00231,ORD005293,P0002,2026-06-15,配送超时,247.74
R00232,ORD007511,P0153,2026-04-03,商品破损,43.9
R00233,ORD006054,P0118,2026-03-26,质量问题,207.42
R00234,ORD000382,P0024,2026-05-27,配送超时,181.0
R00235,ORD006602,P0019,2026-03-26,客户拒收,132.72
R00236,ORD007972,P0159,2026-04-28,客户拒收,13.57
R00237,ORD006118,P0052,2026-04-05,商品破损,137.41
R00238,ORD007456,P0195,2026-04-28,质量问题,47.57
R00239,ORD000070,P0020,2026-06-06,地址错误,395.63
R00240,ORD000434,P0193,2026-05-13,质量问题,65.01
R00241,ORD006694,P0183,2026-04-29,商品破损,177.32
R00242,ORD002940,P0017,2026-05-05,地址错误,458.22
R00243,ORD003361,P0177,2026-06-15,商品破损,55.8
R00244,ORD006759,P0109,2026-04-28,质量问题,202.16
R00245,ORD006480,P0184,2026-05-26,客户拒收,230.69
R00246,ORD002968,P0092,2026-05-07,配送超时,13.65
R00247,ORD001607,P0033,2026-04-22,地址错误,239.95
R00248,ORD000887,P0038,2026-06-07,商品破损,172.94
R00249,ORD005764,P0017,2026-03-30,地址错误,138.24
R00250,ORD000252,P0006,2026-05-05,地址错误,317.72
R00251,ORD000193,P0042,2026-04-10,地址错误,39.19
R00252,ORD004538,P0180,2026-05-16,质量问题,46.39
R00253,ORD004587,P0028,2026-06-11,商品破损,11.99
R00254,ORD005317,P0190,2026-05-23,配送超时,139.78
R00255,ORD007724,P0157,2026-05-24,质量问题,96.13
R00256,ORD003772,P0178,2026-04-28,商品破损,93.32
R00257,ORD004315,P0155,2026-06-15,配送超时,142.59
R00258,ORD004490,P0017,2026-04-11,配送超时,131.34
R00259,ORD005902,P0159,2026-05-01,地址错误,29.22
R00260,ORD003954,P0058,2026-05-07,客户拒收,32.6
R00261,ORD005906,P0018,2026-04-15,质量问题,341.52
R00262,ORD000554,P0006,2026-05-13,配送超时,138.86
R00263,ORD007585,P0190,2026-06-12,配送超时,118.94
R00264,ORD003687,P0191,2026-06-08,质量问题,132.67
R00265,ORD002030,P0004,2026-05-14,配送超时,157.13
R00266,ORD000242,P0172,2026-05-07,客户拒收,18.47
R00267,ORD007743,P0043,2026-04-13,商品破损,106.13
R00268,ORD006141,P0017,2026-04-06,质量问题,284.55
R00269,ORD001260,P0090,2026-06-15,商品破损,16.16
R00270,ORD001926,P0154,2026-04-16,地址错误,122.91
R00271,ORD003937,P0159,2026-05-12,商品破损,59.66
R00272,ORD001047,P0036,2026-06-11,客户拒收,36.87
R00273,ORD001759,P0019,2026-06-01,配送超时,35.64
R00274,ORD006061,P0020,2026-04-28,客户拒收,524.07
R00275,ORD006142,P0170,2026-05-21,配送超时,4.13
R00276,ORD007086,P0022,2026-04-15,地址错误,167.46
R00277,ORD003611,P0155,2026-05-16,地址错误,304.57
R00278,ORD005057,P0180,2026-05-24,质量问题,31.0
R00279,ORD006361,P0180,2026-05-07,地址错误,33.96
R00280,ORD000952,P0114,2026-05-01,配送超时,512.13
R00281,ORD006528,P0196,2026-04-21,配送超时,215.59
R00282,ORD007194,P0008,2026-04-06,商品破损,56.34
R00283,ORD007919,P0009,2026-05-25,配送超时,76.18
R00284,ORD006042,P0191,2026-04-02,配送超时,356.16
R00285,ORD003769,P0200,2026-05-14,客户拒收,62.34
R00286,ORD005142,P0015,2026-04-01,客户拒收,674.94
R00287,ORD001550,P0168,2026-04-02,配送超时,114.75
R00288,ORD006478,P0175,2026-04-10,质量问题,22.9
R00289,ORD007265,P0170,2026-04-18,商品破损,25.58
R00290,ORD005394,P0025,2026-03-27,客户拒收,25.29
R00291,ORD004619,P0178,2026-04-27,商品破损,88.62
R00292,ORD002244,P0169,2026-04-30,客户拒收,88.29
R00293,ORD002223,P0155,2026-06-02,地址错误,76.86
R00294,ORD001444,P0023,2026-06-03,客户拒收,172.57
R00295,ORD002588,P0003,2026-04-26,质量问题,38.94
R00296,ORD006377,P0027,2026-03-29,商品破损,474.49
R00297,ORD005820,P0076,2026-05-26,客户拒收,34.69
R00298,ORD006162,P0164,2026-06-10,客户拒收,49.15
R00299,ORD004364,P0016,2026-05-12,商品破损,33.29
R00300,ORD002287,P0017,2026-05-25,配送超时,153.83
R00301,ORD006768,P0029,2026-06-15,商品破损,28.56
R00302,ORD006610,P0039,2026-06-15,配送超时,123.19
R00303,ORD004224,P0002,2026-04-06,客户拒收,411.06
R00304,ORD006225,P0011,2026-06-13,质量问题,661.92
R00305,ORD006212,P0191,2026-05-29,商品破损,345.28
R00306,ORD007982,P0188,2026-06-15,客户拒收,215.79
R00307,ORD000691,P0058,2026-05-15,商品破损,67.98
R00308,ORD003767,P0195,2026-05-10,配送超时,192.39
R00309,ORD006488,P0020,2026-05-20,地址错误,119.17
R00310,ORD006516,P0027,2026-03-21,质量问题,57.01
R00311,ORD007202,P0016,2026-03-21,客户拒收,31.03
R00312,ORD003431,P0003,2026-04-25,质量问题,253.61
R00313,ORD002196,P0027,2026-04-19,客户拒收,449.12
R00314,ORD005873,P0154,2026-03-26,配送超时,69.49
R00315,ORD004892,P0195,2026-05-18,客户拒收,223.74
R00316,ORD006382,P0173,2026-04-09,商品破损,91.91
R00317,ORD006219,P0017,2026-04-07,质量问题,362.34
R00318,ORD003679,P0009,2026-04-30,质量问题,28.37
R00319,ORD004639,P0195,2026-04-26,配送超时,50.02
R00320,ORD000180,P0006,2026-05-20,商品破损,343.27
R00321,ORD002068,P0183,2026-04-06,配送超时,257.68
R00322,ORD001702,P0177,2026-04-01,客户拒收,63.16
R00323,ORD002315,P0187,2026-04-08,地址错误,112.25
R00324,ORD005402,P0180,2026-04-28,配送超时,21.37
R00325,ORD005868,P0098,2026-03-31,客户拒收,203.67
R00326,ORD000173,P0164,2026-06-15,商品破损,81.49
R00327,ORD001662,P0006,2026-06-01,配送超时,73.45
R00328,ORD000505,P0017,2026-05-21,地址错误,339.8
R00329,ORD000186,P0139,2026-04-17,质量问题,118.27
R00330,ORD002239,P0008,2026-03-25,客户拒收,112.05
R00331,ORD004287,P0198,2026-06-15,配送超时,376.43
R00332,ORD001493,P0113,2026-04-09,质量问题,107.41
R00333,ORD007774,P0026,2026-03-31,配送超时,52.06
R00334,ORD007563,P0153,2026-05-13,客户拒收,214.62
R00335,ORD006996,P0035,2026-06-05,客户拒收,66.41
R00336,ORD002678,P0028,2026-05-04,配送超时,11.42
R00337,ORD005426,P0016,2026-04-06,配送超时,48.0
R00338,ORD005722,P0159,2026-05-28,配送超时,30.66
R00339,ORD006306,P0170,2026-03-30,地址错误,4.46
R00340,ORD003455,P0041,2026-05-30,商品破损,44.88
R00341,ORD006712,P0034,2026-06-04,商品破损,20.01
R00342,ORD006666,P0170,2026-06-01,质量问题,4.15
R00343,ORD006920,P0193,2026-05-01,配送超时,139.5
R00344,ORD001418,P0096,2026-04-08,客户拒收,220.41
R00345,ORD001147,P0033,2026-05-01,配送超时,241.55
R00346,ORD000754,P0043,2026-05-31,配送超时,64.98
R00347,ORD007897,P0177,2026-04-03,质量问题,36.89
R00348,ORD005461,P0176,2026-04-16,配送超时,70.17
R00349,ORD003004,P0022,2026-04-05,客户拒收,48.91
R00350,ORD001461,P0171,2026-04-28,质量问题,41.16
R00351,ORD004873,P0033,2026-04-28,配送超时,120.06
R00352,ORD006475,P0036,2026-05-15,商品破损,73.3
R00353,ORD002174,P0117,2026-06-02,客户拒收,100.18
R00354,ORD003794,P0158,2026-04-23,客户拒收,90.73
R00355,ORD004272,P0046,2026-04-22,客户拒收,22.37
R00356,ORD001529,P0031,2026-06-07,客户拒收,7.39
R00357,ORD004969,P0187,2026-04-14,商品破损,554.82
R00358,ORD002101,P0172,2026-03-28,配送超时,7.46
R00359,ORD006642,P0034,2026-05-01,质量问题,6.91
R00360,ORD007279,P0060,2026-03-29,地址错误,32.22
R00361,ORD000648,P0194,2026-03-28,客户拒收,58.32
R00362,ORD006207,P0029,2026-05-24,配送超时,324.44
R00363,ORD006047,P0155,2026-06-15,配送超时,76.02
R00364,ORD007788,P0090,2026-05-23,地址错误,32.95
R00365,ORD007965,P0178,2026-06-02,配送超时,184.87
R00366,ORD003829,P0033,2026-04-25,客户拒收,87.61
R00367,ORD005250,P0154,2026-03-27,客户拒收,23.07
R00368,ORD006011,P0028,2026-05-11,商品破损,130.49
R00369,ORD005240,P0016,2026-04-04,地址错误,24.44
R00370,ORD007428,P0005,2026-05-17,质量问题,70.61
R00371,ORD003220,P0185,2026-05-21,质量问题,428.22
R00372,ORD005909,P0155,2026-06-11,商品破损,69.23
R00373,ORD000266,P0157,2026-06-11,配送超时,410.91
R00374,ORD000283,P0010,2026-05-07,客户拒收,207.4
R00375,ORD005676,P0159,2026-05-04,客户拒收,15.06
R00376,ORD007100,P0185,2026-04-21,配送超时,409.42
R00377,ORD006482,P0160,2026-04-14,客户拒收,97.97
R00378,ORD000963,P0096,2026-05-11,商品破损,205.9
R00379,ORD005276,P0023,2026-05-22,商品破损,767.42
R00380,ORD002243,P0183,2026-05-11,客户拒收,423.59
R00381,ORD005409,P0178,2026-04-17,配送超时,132.45
R00382,ORD007734,P0003,2026-06-15,商品破损,171.31
R00383,ORD005180,P0017,2026-05-26,配送超时,134.82
R00384,ORD006033,P0161,2026-04-02,客户拒收,52.98
R00385,ORD004069,P0026,2026-05-18,配送超时,94.11
R00386,ORD004157,P0082,2026-05-26,地址错误,327.69
R00387,ORD007861,P0009,2026-06-11,配送超时,15.98
R00388,ORD001003,P0153,2026-04-16,质量问题,178.93
R00389,ORD004194,P0161,2026-05-29,配送超时,35.6
R00390,ORD003461,P0169,2026-05-17,地址错误,81.87
R00391,ORD007944,P0020,2026-03-27,客户拒收,114.1
R00392,ORD002528,P0156,2026-03-30,客户拒收,37.14
R00393,ORD003597,P0189,2026-04-15,质量问题,61.12
R00394,ORD003640,P0033,2026-06-15,质量问题,42.91
R00395,ORD002271,P0019,2026-05-26,地址错误,189.74
R00396,ORD007222,P0020,2026-04-21,质量问题,61.32
R00397,ORD001134,P0198,2026-06-08,配送超时,382.84
R00398,ORD000738,P0019,2026-06-03,地址错误,291.22
R00399,ORD003849,P0026,2026-04-15,质量问题,259.14
R00400,ORD006600,P0046,2026-04-26,配送超时,10.23
R00401,ORD002554,P0165,2026-04-11,配送超时,51.81
R00402,ORD002224,P0020,2026-05-01,配送超时,322.99
R00403,ORD000676,P0176,2026-05-17,配送超时,110.45
R00404,ORD001826,P0198,2026-04-24,质量问题,545.51
R00405,ORD004693,P0191,2026-04-09,质量问题,151.26
R00406,ORD002070,P0165,2026-05-04,配送超时,50.74
R00407,ORD003289,P0039,2026-03-24,配送超时,27.64
R00408,ORD002227,P0169,2026-06-06,配送超时,94.11
R00409,ORD007338,P0122,2026-04-06,客户拒收,40.94
R00410,ORD005421,P0034,2026-06-15,客户拒收,13.57
R00411,ORD004025,P0082,2026-04-21,配送超时,150.73
R00412,ORD002192,P0017,2026-05-19,客户拒收,149.92
R00413,ORD003026,P0196,2026-04-27,质量问题,355.89
R00414,ORD004190,P0197,2026-04-16,质量问题,110.88
R00415,ORD000673,P0058,2026-04-14,配送超时,144.68
R00416,ORD003239,P0193,2026-06-12,配送超时,42.0
R00417,ORD005060,P0019,2026-05-07,配送超时,34.91
R00418,ORD001595,P0043,2026-05-31,配送超时,17.52
R00419,ORD003106,P0027,2026-03-29,商品破损,120.25
R00420,ORD000629,P0147,2026-05-11,配送超时,96.83
R00421,ORD002823,P0008,2026-06-15,客户拒收,89.0
R00422,ORD002031,P0037,2026-05-18,商品破损,41.55
R00423,ORD006830,P0011,2026-05-03,地址错误,123.86
R00424,ORD001293,P0048,2026-05-08,客户拒收,250.87
R00425,ORD007162,P0113,2026-06-04,质量问题,106.96
R00426,ORD005360,P0183,2026-06-07,质量问题,237.85
R00427,ORD001048,P0086,2026-05-15,地址错误,453.98
R00428,ORD001713,P0191,2026-03-29,商品破损,196.25
R00429,ORD006442,P0019,2026-05-06,商品破损,35.19
R00430,ORD007913,P0011,2026-03-22,质量问题,425.82
R00431,ORD006119,P0011,2026-04-28,商品破损,185.67
R00432,ORD007628,P0015,2026-05-20,地址错误,353.51
R00433,ORD007143,P0194,2026-03-29,客户拒收,49.78
R00434,ORD006249,P0016,2026-04-03,商品破损,30.21
R00435,ORD003323,P0098,2026-06-06,配送超时,76.96
R00436,ORD004452,P0006,2026-06-07,配送超时,341.46
R00437,ORD004784,P0009,2026-05-15,客户拒收,86.99
R00438,ORD001287,P0042,2026-06-09,配送超时,434.3
R00439,ORD001409,P0183,2026-05-04,质量问题,394.43
R00440,ORD007362,P0027,2026-04-13,地址错误,311.76
R00441,ORD005278,P0168,2026-04-03,地址错误,20.75
R00442,ORD002438,P0044,2026-04-14,质量问题,29.68
R00443,ORD007538,P0092,2026-05-01,商品破损,13.7
R00444,ORD006739,P0180,2026-05-27,客户拒收,71.47
R00445,ORD004955,P0159,2026-04-16,地址错误,27.78
R00446,ORD001755,P0028,2026-05-09,商品破损,25.89
R00447,ORD006190,P0065,2026-06-03,客户拒收,83.5
R00448,ORD003879,P0195,2026-04-21,客户拒收,93.07
R00449,ORD006723,P0015,2026-05-01,商品破损,193.22
R00450,ORD007914,P0167,2026-03-29,商品破损,185.12
R00451,ORD004257,P0028,2026-05-13,配送超时,23.47
R00452,ORD002159,P0053,2026-05-31,质量问题,385.83
R00453,ORD000273,P0040,2026-05-25,配送超时,50.26
R00454,ORD006515,P0114,2026-04-16,配送超时,279.57
R00455,ORD006636,P0039,2026-06-15,商品破损,26.59
R00456,ORD002344,P0014,2026-06-01,商品破损,65.57
R00457,ORD006970,P0188,2026-05-29,商品破损,369.79
R00458,ORD006157,P0161,2026-05-24,客户拒收,28.44
R00459,ORD006733,P0144,2026-04-27,配送超时,12.67
R00460,ORD006603,P0195,2026-04-19,商品破损,178.42
R00461,ORD007493,P0028,2026-04-24,质量问题,92.08
R00462,ORD006064,P0013,2026-03-29,配送超时,292.2
